Student ID,Student Last Name,Student First Name,Student Grade,School,Completion Date,Norming Window,Most Recent Diagnostic YTD (Y/N),Overall Relative Placement,Percent Progress to Annual Typical Growth (%)
1000001,White,Liam,10,Cedar Hills Elementary,2025-09-07,Fall (Beginning of Year - November 15),N,Early On Grade Level,128
1000001,White,Liam,10,Cedar Hills Elementary,2026-01-30,Winter (November 16 - March 1),N,1 Grade Level Below,133
1000001,White,Liam,10,Cedar Hills Elementary,2026-03-29,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,116
1000002,Anderson,Lucas,11,East High,2025-08-10,Fall (Beginning of Year - November 15),N,1 Grade Level Below,212
1000002,Anderson,Lucas,11,East High,2026-01-09,Winter (November 16 - March 1),N,2 Grade Levels Below,80
1000002,Anderson,Lucas,11,East High,2026-03-13,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,144
1000003,Johnson,Chloe,5,Heritage Middle,2025-10-17,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,233
1000003,Johnson,Chloe,5,Heritage Middle,2026-02-04,Winter (November 16 - March 1),N,Mid or Above Grade Level,232
1000003,Johnson,Chloe,5,Heritage Middle,2026-05-14,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,115
1000004,Brown,Nora,1,Grand Mesa Elementary,2025-10-07,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,133
1000004,Brown,Nora,1,Grand Mesa Elementary,2026-01-02,Winter (November 16 - March 1),N,Mid or Above Grade Level,31
1000004,Brown,Nora,1,Grand Mesa Elementary,2026-03-11,Spring (March 2 - End of Year),Y,1 Grade Level Below,199
1000005,Anderson,Sophia,11,Grand Mesa Elementary,2025-10-30,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,83
1000005,Anderson,Sophia,11,Grand Mesa Elementary,2025-11-23,Winter (November 16 - March 1),N,1 Grade Level Below,52
1000005,Anderson,Sophia,11,Grand Mesa Elementary,2026-04-11,Spring (March 2 - End of Year),Y,Early On Grade Level,80
1000006,Lee,Mason,11,Mountain View Middle,2025-10-31,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,122
1000006,Lee,Mason,11,Mountain View Middle,2025-12-17,Winter (November 16 - March 1),N,3 or More Grade Levels Below,101
1000006,Lee,Mason,11,Mountain View Middle,2026-05-15,Spring (March 2 - End of Year),Y,2 Grade Levels Below,5
1000007,Harris,Noah,2,South High,2026-03-16,Spring (March 2 - End of Year),Y,Early On Grade Level,132
1000008,Anderson,Ella,6,Central High,2025-10-19,Fall (Beginning of Year - November 15),N,1 Grade Level Below,143
1000008,Anderson,Ella,6,Central High,2026-02-16,Winter (November 16 - March 1),N,Mid or Above Grade Level,230
1000008,Anderson,Ella,6,Central High,2026-04-14,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,214
1000009,Lewis,Grace,7,Aspen Elementary,2025-10-13,Fall (Beginning of Year - November 15),N,Early On Grade Level,112
1000009,Lewis,Grace,7,Aspen Elementary,2026-02-05,Winter (November 16 - March 1),N,1 Grade Level Below,10
1000009,Lewis,Grace,7,Aspen Elementary,2026-04-18,Spring (March 2 - End of Year),Y,Early On Grade Level,112
1000010,Smith,Isabella,K,Mountain View Middle,2025-12-16,Winter (November 16 - March 1),N,Mid or Above Grade Level,5
1000010,Smith,Isabella,K,Mountain View Middle,2026-03-12,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,184
1000011,Perez,Amelia,12,Eagle View Elementary,2025-10-19,Fall (Beginning of Year - November 15),N,Early On Grade Level,152
1000011,Perez,Amelia,12,Eagle View Elementary,2026-02-01,Winter (November 16 - March 1),N,Mid or Above Grade Level,56
1000011,Perez,Amelia,12,Eagle View Elementary,2026-03-27,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,130
1000012,Lewis,Elijah,10,Prairie Ridge Middle,2025-08-25,Fall (Beginning of Year - November 15),N,Early On Grade Level,105
1000012,Lewis,Elijah,10,Prairie Ridge Middle,2026-01-30,Winter (November 16 - March 1),N,1 Grade Level Below,134
1000012,Lewis,Elijah,10,Prairie Ridge Middle,2026-03-09,Spring (March 2 - End of Year),Y,1 Grade Level Below,127
1000013,Thomas,Scarlett,3,Heritage Middle,2025-09-10,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,277
1000013,Thomas,Scarlett,3,Heritage Middle,2025-12-10,Winter (November 16 - March 1),Y,3 or More Grade Levels Below,202
1000014,Lee,Scarlett,11,Bear Creek Elementary,2025-08-22,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,170
1000014,Lee,Scarlett,11,Bear Creek Elementary,2026-02-26,Winter (November 16 - March 1),N,Early On Grade Level,144
1000014,Lee,Scarlett,11,Bear Creek Elementary,2026-04-25,Spring (March 2 - End of Year),Y,Early On Grade Level,58
1000014,Lee,Scarlett,11,Bear Creek Elementary,2026-03-11,Spring (March 2 - End of Year),N,1 Grade Level Below,0
1000015,Robinson,Noah,8,Aspen Elementary,2025-09-09,Fall (Beginning of Year - November 15),N,Early On Grade Level,160
1000015,Robinson,Noah,8,Aspen Elementary,2025-12-13,Winter (November 16 - March 1),N,1 Grade Level Below,218
1000015,Robinson,Noah,8,Aspen Elementary,2026-04-20,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,0
1000016,Thompson,Harper,7,Horizon Middle,2025-10-20,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,56
1000016,Thompson,Harper,7,Horizon Middle,2025-11-23,Winter (November 16 - March 1),N,Early On Grade Level,26
1000016,Thompson,Harper,7,Horizon Middle,2026-04-11,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,204
1000016,Thompson,Harper,7,Horizon Middle,2026-03-22,Spring (March 2 - End of Year),N,Early On Grade Level,142
1000017,Williams,Ella,2,Canyon Ridge Elementary,2025-09-09,Fall (Beginning of Year - November 15),N,Early On Grade Level,0
1000017,Williams,Ella,2,Canyon Ridge Elementary,2025-11-21,Winter (November 16 - March 1),N,3 or More Grade Levels Below,213
1000017,Williams,Ella,2,Canyon Ridge Elementary,2026-05-15,Spring (March 2 - End of Year),Y,Early On Grade Level,41
1000018,Gonzalez,Ava,5,Grand Mesa Elementary,2026-01-13,Winter (November 16 - March 1),N,Mid or Above Grade Level,77
1000018,Gonzalez,Ava,5,Grand Mesa Elementary,2026-03-11,Spring (March 2 - End of Year),Y,1 Grade Level Below,216
1000019,Rodriguez,Benjamin,8,Foothills Elementary,2025-09-10,Fall (Beginning of Year - November 15),N,1 Grade Level Below,111
1000019,Rodriguez,Benjamin,8,Foothills Elementary,2026-01-24,Winter (November 16 - March 1),Y,Early On Grade Level,73
1000020,Perez,Lily,K,Horizon Middle,2025-08-24,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,0
1000020,Perez,Lily,K,Horizon Middle,2025-12-05,Winter (November 16 - March 1),Y,2 Grade Levels Below,89
1000021,Thomas,Benjamin,10,Heritage Middle,2025-08-16,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,212
1000021,Thomas,Benjamin,10,Heritage Middle,2025-12-21,Winter (November 16 - March 1),N,Mid or Above Grade Level,174
1000021,Thomas,Benjamin,10,Heritage Middle,2026-03-22,Spring (March 2 - End of Year),Y,Early On Grade Level,124
1000022,Williams,Emma,6,Aspen Elementary,2025-11-06,Fall (Beginning of Year - November 15),N,Early On Grade Level,187
1000022,Williams,Emma,6,Aspen Elementary,2025-12-04,Winter (November 16 - March 1),N,1 Grade Level Below,47
1000022,Williams,Emma,6,Aspen Elementary,2026-04-17,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,219
1000023,Brown,Scarlett,3,Grand Mesa Elementary,2025-10-20,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,20
1000023,Brown,Scarlett,3,Grand Mesa Elementary,2026-02-03,Winter (November 16 - March 1),N,1 Grade Level Below,104
1000023,Brown,Scarlett,3,Grand Mesa Elementary,2026-03-24,Spring (March 2 - End of Year),Y,1 Grade Level Below,0
1000024,Robinson,Chloe,11,Mountain View Middle,2025-11-03,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,200
1000024,Robinson,Chloe,11,Mountain View Middle,2025-11-29,Winter (November 16 - March 1),N,1 Grade Level Below,0
1000024,Robinson,Chloe,11,Mountain View Middle,2026-05-01,Spring (March 2 - End of Year),Y,2 Grade Levels Below,130
1000025,Smith,Lucas,12,Grand Mesa Elementary,2025-09-30,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,250
1000025,Smith,Lucas,12,Grand Mesa Elementary,2026-02-22,Winter (November 16 - March 1),N,Mid or Above Grade Level,84
1000025,Smith,Lucas,12,Grand Mesa Elementary,2026-05-09,Spring (March 2 - End of Year),Y,1 Grade Level Below,217
1000026,Rodriguez,Logan,4,Falcon Ridge Elementary,2026-05-17,Spring (March 2 - End of Year),Y,Early On Grade Level,0
1000027,Lewis,Charlotte,8,Cedar Hills Elementary,2025-09-11,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,156
1000027,Lewis,Charlotte,8,Cedar Hills Elementary,2026-01-21,Winter (November 16 - March 1),N,Mid or Above Grade Level,193
1000027,Lewis,Charlotte,8,Cedar Hills Elementary,2026-03-27,Spring (March 2 - End of Year),Y,1 Grade Level Below,60
1000028,Hernandez,Ella,10,Mountain View Middle,2025-08-25,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,92
1000028,Hernandez,Ella,10,Mountain View Middle,2026-01-06,Winter (November 16 - March 1),N,Early On Grade Level,38
1000028,Hernandez,Ella,10,Mountain View Middle,2026-03-26,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,0
1000029,Moore,Charlotte,9,Horizon Middle,2025-09-17,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,196
1000029,Moore,Charlotte,9,Horizon Middle,2026-01-29,Winter (November 16 - March 1),N,Early On Grade Level,49
1000029,Moore,Charlotte,9,Horizon Middle,2026-05-06,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,61
1000030,Williams,Scarlett,12,Falcon Ridge Elementary,2025-11-02,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,56
1000030,Williams,Scarlett,12,Falcon Ridge Elementary,2026-02-10,Winter (November 16 - March 1),N,Mid or Above Grade Level,51
1000030,Williams,Scarlett,12,Falcon Ridge Elementary,2026-03-20,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,164
1000031,Lewis,Harper,1,North High,2025-09-03,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,114
1000031,Lewis,Harper,1,North High,2026-01-06,Winter (November 16 - March 1),N,Mid or Above Grade Level,1168
1000031,Lewis,Harper,1,North High,2026-03-15,Spring (March 2 - End of Year),Y,2 Grade Levels Below,221
1000032,Moore,Olivia,12,North High,2025-08-27,Fall (Beginning of Year - November 15),N,Early On Grade Level,142
1000032,Moore,Olivia,12,North High,2026-02-20,Winter (November 16 - March 1),Y,Early On Grade Level,0
1000033,Robinson,Henry,11,East High,2025-08-30,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,101
1000033,Robinson,Henry,11,East High,2026-02-05,Winter (November 16 - March 1),N,Mid or Above Grade Level,14
1000033,Robinson,Henry,11,East High,2026-05-03,Spring (March 2 - End of Year),Y,2 Grade Levels Below,60
1000034,Lewis,Ethan,4,Mountain View Middle,2025-08-27,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,59
1000034,Lewis,Ethan,4,Mountain View Middle,2025-12-05,Winter (November 16 - March 1),N,Early On Grade Level,97
1000034,Lewis,Ethan,4,Mountain View Middle,2026-04-24,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,76
1000035,Lewis,Nora,6,Aspen Elementary,2025-09-27,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,0
1000035,Lewis,Nora,6,Aspen Elementary,2026-01-08,Winter (November 16 - March 1),N,Mid or Above Grade Level,132
1000035,Lewis,Nora,6,Aspen Elementary,2026-05-18,Spring (March 2 - End of Year),Y,Early On Grade Level,179
1000036,Perez,Scarlett,6,Mountain View Middle,2025-11-10,Fall (Beginning of Year - November 15),N,Early On Grade Level,49
1000036,Perez,Scarlett,6,Mountain View Middle,2025-12-02,Winter (November 16 - March 1),N,Early On Grade Level,203
1000036,Perez,Scarlett,6,Mountain View Middle,2026-03-05,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,93
1000037,Rodriguez,Olivia,7,Falcon Ridge Elementary,2025-09-06,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,35
