Student ID,Student Last Name,Student First Name,Student Grade,School,Completion Date,Norming Window,Most Recent Diagnostic YTD (Y/N),Overall Relative Placement,Percent Progress to Annual Typical Growth (%)
1000001,Rodriguez,Olivia,1,East High,2025-08-14,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,28
1000001,Rodriguez,Olivia,1,East High,2025-11-22,Winter (November 16 - March 1),N,Mid or Above Grade Level,164
1000001,Rodriguez,Olivia,1,East High,2026-04-13,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,84
1000002,Martin,Jack,6,Canyon Ridge Elementary,2026-03-15,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,55
1000003,Perez,Noah,2,Eagle View Elementary,2025-10-04,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,45
1000003,Perez,Noah,2,Eagle View Elementary,2026-02-22,Winter (November 16 - March 1),N,3 or More Grade Levels Below,71
1000003,Perez,Noah,2,Eagle View Elementary,2026-05-02,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,125
1000004,Smith,Ethan,6,East High,2025-11-03,Fall (Beginning of Year - November 15),N,Early On Grade Level,197
1000004,Smith,Ethan,6,East High,2026-01-17,Winter (November 16 - March 1),N,Early On Grade Level,20
1000004,Smith,Ethan,6,East High,2026-03-25,Spring (March 2 - End of Year),Y,1 Grade Level Below,87
1000005,Perez,Isabella,4,Falcon Ridge Elementary,2025-08-19,Fall (Beginning of Year - November 15),N,Early On Grade Level,85
1000005,Perez,Isabella,4,Falcon Ridge Elementary,2025-11-18,Winter (November 16 - March 1),N,1 Grade Level Below,24
1000005,Perez,Isabella,4,Falcon Ridge Elementary,2026-04-17,Spring (March 2 - End of Year),Y,Early On Grade Level,167
1000006,Clark,Grace,K,Horizon Middle,2025-10-29,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,103
1000006,Clark,Grace,K,Horizon Middle,2026-01-24,Winter (November 16 - March 1),N,Mid or Above Grade Level,51
1000006,Clark,Grace,K,Horizon Middle,2026-04-30,Spring (March 2 - End of Year),N,Early On Grade Level,102
1000006,Clark,Grace,K,Horizon Middle,2026-03-26,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,231
1000007,Wilson,Jackson,K,Cedar Hills Elementary,2025-11-08,Fall (Beginning of Year - November 15),N,Early On Grade Level,115
1000007,Wilson,Jackson,K,Cedar Hills Elementary,2026-01-10,Winter (November 16 - March 1),N,Early On Grade Level,204
1000007,Wilson,Jackson,K,Cedar Hills Elementary,2026-04-22,Spring (March 2 - End of Year),Y,Early On Grade Level,17
1000008,Johnson,Isabella,12,Mountain View Middle,2025-10-30,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,250
1000008,Johnson,Isabella,12,Mountain View Middle,2026-02-15,Winter (November 16 - March 1),N,3 or More Grade Levels Below,68
1000008,Johnson,Isabella,12,Mountain View Middle,2026-04-01,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,92
1000009,Moore,Charlotte,4,Eagle View Elementary,2025-09-16,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,0
1000009,Moore,Charlotte,4,Eagle View Elementary,2026-01-04,Winter (November 16 - March 1),N,Early On Grade Level,35
1000009,Moore,Charlotte,4,Eagle View Elementary,2026-03-23,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,166
1000010,White,Olivia,2,North High,2025-11-12,Fall (Beginning of Year - November 15),N,1 Grade Level Below,85
1000010,White,Olivia,2,North High,2025-12-24,Winter (November 16 - March 1),N,1 Grade Level Below,0
1000010,White,Olivia,2,North High,2026-03-22,Spring (March 2 - End of Year),Y,2 Grade Levels Below,0
1000011,Brown,Benjamin,8,Prairie Ridge Middle,2026-01-19,Winter (November 16 - March 1),N,3 or More Grade Levels Below,77
1000011,Brown,Benjamin,8,Prairie Ridge Middle,2026-04-12,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,95
1000012,Miller,Benjamin,12,Aspen Elementary,2025-09-19,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,120
1000012,Miller,Benjamin,12,Aspen Elementary,2026-05-11,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,0
1000013,Lewis,Chloe,7,South High,2025-09-11,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,57
1000013,Lewis,Chloe,7,South High,2026-01-28,Winter (November 16 - March 1),N,Mid or Above Grade Level,143
1000013,Lewis,Chloe,7,South High,2026-03-18,Spring (March 2 - End of Year),Y,Early On Grade Level,47
1000014,Sanchez,Chloe,9,South High,2025-11-06,Fall (Beginning of Year - November 15),N,Early On Grade Level,239
1000014,Sanchez,Chloe,9,South High,2026-02-09,Winter (November 16 - March 1),N,Early On Grade Level,146
1000014,Sanchez,Chloe,9,South High,2026-03-29,Spring (March 2 - End of Year),Y,Early On Grade Level,106
1000015,Gonzalez,Sophia,12,Bear Creek Elementary,2025-09-12,Fall (Beginning of Year - November 15),N,1 Grade Level Below,29
1000015,Gonzalez,Sophia,12,Bear Creek Elementary,2025-12-08,Winter (November 16 - March 1),N,1 Grade Level Below,143
1000015,Gonzalez,Sophia,12,Bear Creek Elementary,2026-04-04,Spring (March 2 - End of Year),Y,1 Grade Level Below,40
1000016,Gonzalez,Olivia,K,Central High,2025-11-15,Fall (Beginning of Year - November 15),N,1 Grade Level Below,162
1000016,Gonzalez,Olivia,K,Central High,2025-12-20,Winter (November 16 - March 1),N,1 Grade Level Below,82
1000016,Gonzalez,Olivia,K,Central High,2026-04-15,Spring (March 2 - End of Year),Y,1 Grade Level Below,99
1000017,Hernandez,Ava,K,Falcon Ridge Elementary,2026-01-16,Winter (November 16 - March 1),N,Mid or Above Grade Level,212
1000017,Hernandez,Ava,K,Falcon Ridge Elementary,2026-05-01,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,139
1000018,Martin,Lucas,K,North High,2025-10-25,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,97
1000018,Martin,Lucas,K,North High,2025-12-22,Winter (November 16 - March 1),N,Mid or Above Grade Level,1097
1000018,Martin,Lucas,K,North High,2026-03-10,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,0
1000019,Lopez,Harper,6,Bear Creek Elementary,2025-08-31,Fall (Beginning of Year - November 15),N,Early On Grade Level,116
1000019,Lopez,Harper,6,Bear Creek Elementary,2026-02-18,Winter (November 16 - March 1),N,Early On Grade Level,154
1000019,Lopez,Harper,6,Bear Creek Elementary,2026-04-09,Spring (March 2 - End of Year),Y,Early On Grade Level,0
1000020,Anderson,Emma,9,Heritage Middle,2025-08-18,Fall (Beginning of Year - November 15),N,Early On Grade Level,98
1000020,Anderson,Emma,9,Heritage Middle,2026-01-05,Winter (November 16 - March 1),N,Early On Grade Level,0
1000020,Anderson,Emma,9,Heritage Middle,2026-04-26,Spring (March 2 - End of Year),Y,1 Grade Level Below,171
1000021,Miller,Amelia,3,Grand Mesa Elementary,2025-09-05,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,1021
1000021,Miller,Amelia,3,Grand Mesa Elementary,2025-12-27,Winter (November 16 - March 1),N,3 or More Grade Levels Below,174
1000021,Miller,Amelia,3,Grand Mesa Elementary,2026-04-02,Spring (March 2 - End of Year),N,2 Grade Levels Below,79
1000021,Miller,Amelia,3,Grand Mesa Elementary,2026-03-25,Spring (March 2 - End of Year),Y,2 Grade Levels Below,0
1000022,Clark,Jackson,5,Foothills Elementary,2025-08-29,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,22
1000022,Clark,Jackson,5,Foothills Elementary,2026-01-10,Winter (November 16 - March 1),N,Early On Grade Level,114
1000022,Clark,Jackson,5,Foothills Elementary,2026-03-11,Spring (March 2 - End of Year),Y,Early On Grade Level,185
1000023,White,Grace,1,Eagle View Elementary,2025-09-24,Fall (Beginning of Year - November 15),N,1 Grade Level Below,88
1000023,White,Grace,1,Eagle View Elementary,2025-12-13,Winter (November 16 - March 1),Y,1 Grade Level Below,79
1000024,Jackson,Emma,10,Mountain View Middle,2025-09-05,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,112
1000024,Jackson,Emma,10,Mountain View Middle,2025-12-09,Winter (November 16 - March 1),N,Mid or Above Grade Level,0
1000024,Jackson,Emma,10,Mountain View Middle,2026-03-22,Spring (March 2 - End of Year),Y,Early On Grade Level,172
1000025,Brown,Olivia,2,Grand Mesa Elementary,2025-11-02,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,76
1000025,Brown,Olivia,2,Grand Mesa Elementary,2026-02-13,Winter (November 16 - March 1),N,Mid or Above Grade Level,112
1000025,Brown,Olivia,2,Grand Mesa Elementary,2026-04-16,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,0
1000026,Wilson,Chloe,5,Eagle View Elementary,2025-09-30,Fall (Beginning of Year - November 15),N,1 Grade Level Below,148
1000026,Wilson,Chloe,5,Eagle View Elementary,2025-12-15,Winter (November 16 - March 1),Y,1 Grade Level Below,108
1000027,Davis,Mia,2,Aspen Elementary,2025-10-31,Fall (Beginning of Year - November 15),N,Early On Grade Level,74
1000027,Davis,Mia,2,Aspen Elementary,2026-01-24,Winter (November 16 - March 1),N,Early On Grade Level,91
1000027,Davis,Mia,2,Aspen Elementary,2026-03-18,Spring (March 2 - End of Year),Y,Early On Grade Level,176
1000028,Martinez,Ella,5,Mountain View Middle,2025-09-23,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,92
1000028,Martinez,Ella,5,Mountain View Middle,2026-01-03,Winter (November 16 - March 1),N,3 or More Grade Levels Below,97
1000028,Martinez,Ella,5,Mountain View Middle,2026-04-27,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,175
1000029,Lee,Charlotte,10,Canyon Ridge Elementary,2026-01-16,Winter (November 16 - March 1),N,1 Grade Level Below,4
1000029,Lee,Charlotte,10,Canyon Ridge Elementary,2026-05-11,Spring (March 2 - End of Year),Y,1 Grade Level Below,142
1000030,Robinson,Leo,10,Falcon Ridge Elementary,2025-08-22,Fall (Beginning of Year - November 15),N,1 Grade Level Below,93
1000030,Robinson,Leo,10,Falcon Ridge Elementary,2026-02-15,Winter (November 16 - March 1),N,2 Grade Levels Below,50
1000030,Robinson,Leo,10,Falcon Ridge Elementary,2026-03-09,Spring (March 2 - End of Year),Y,1 Grade Level Below,61
1000031,Wilson,Ava,1,Heritage Middle,2025-08-25,Fall (Beginning of Year - November 15),N,Early On Grade Level,78
1000031,Wilson,Ava,1,Heritage Middle,2025-12-22,Winter (November 16 - March 1),N,Early On Grade Level,65
1000031,Wilson,Ava,1,Heritage Middle,2026-04-10,Spring (March 2 - End of Year),Y,1 Grade Level Below,47
1000032,Robinson,Emma,12,North High,2025-09-24,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,118
1000032,Robinson,Emma,12,North High,2025-12-09,Winter (November 16 - March 1),N,Mid or Above Grade Level,564
1000032,Robinson,Emma,12,North High,2026-03-02,Spring (March 2 - End of Year),Y,Early On Grade Level,61
1000033,Williams,Nora,2,Heritage Middle,2025-09-28,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,1160
1000033,Williams,Nora,2,Heritage Middle,2026-01-27,Winter (November 16 - March 1),N,Mid or Above Grade Level,73
1000033,Williams,Nora,2,Heritage Middle,2026-05-10,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,63
1000034,Hernandez,Scarlett,K,Eagle View Elementary,2025-09-04,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,0
1000034,Hernandez,Scarlett,K,Eagle View Elementary,2026-01-18,Winter (November 16 - March 1),N,Mid or Above Grade Level,124
1000034,Hernandez,Scarlett,K,Eagle View Elementary,2026-03-23,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,105
1000035,Clark,Jack,1,North High,2025-10-21,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,68
1000035,Clark,Jack,1,North High,2026-01-01,Winter (November 16 - March 1),N,2 Grade Levels Below,0
1000035,Clark,Jack,1,North High,2026-03-29,Spring (March 2 - End of Year),Y,2 Grade Levels Below,116
1000036,Miller,Liam,10,Bear Creek Elementary,2025-08-16,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,109
1000036,Miller,Liam,10,Bear Creek Elementary,2026-05-01,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,47
1000037,Perez,Harper,10,Cedar Hills Elementary,2025-10-31,Fall (Beginning of Year - November 15),N,Early On Grade Level,53
1000037,Perez,Harper,10,Cedar Hills Elementary,2026-05-15,Spring (March 2 - End of Year),Y,Early On Grade Level,69
1000038,Garcia,Nora,8,Canyon Ridge Elementary,2025-10-23,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,182
1000038,Garcia,Nora,8,Canyon Ridge Elementary,2025-12-04,Winter (November 16 - March 1),N,Early On Grade Level,0
1000038,Garcia,Nora,8,Canyon Ridge Elementary,2026-04-02,Spring (March 2 - End of Year),N,Mid or Above Grade Level,85
1000038,Garcia,Nora,8,Canyon Ridge Elementary,2026-05-02,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,159
1000039,Martinez,Grace,8,Mountain View Middle,2025-08-22,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,109
1000039,Martinez,Grace,8,Mountain View Middle,2026-01-02,Winter (November 16 - March 1),Y,3 or More Grade Levels Below,101
1000040,Williams,Ella,3,Central High,2025-11-09,Fall (Beginning of Year - November 15),N,Early On Grade Level,0
1000040,Williams,Ella,3,Central High,2026-01-17,Winter (November 16 - March 1),N,Early On Grade Level,213
1000040,Williams,Ella,3,Central High,2026-05-04,Spring (March 2 - End of Year),N,Early On Grade Level,46
1000040,Williams,Ella,3,Central High,2026-04-24,Spring (March 2 - End of Year),Y,Early On Grade Level,133
1000041,Thomas,Scarlett,2,Grand Mesa Elementary,2025-11-09,Fall (Beginning of Year - November 15),N,Early On Grade Level,0
1000041,Thomas,Scarlett,2,Grand Mesa Elementary,2026-04-18,Spring (March 2 - End of Year),Y,1 Grade Level Below,135
1000042,Gonzalez,Scarlett,11,Falcon Ridge Elementary,2025-10-14,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,81
1000042,Gonzalez,Scarlett,11,Falcon Ridge Elementary,2025-12-09,Winter (November 16 - March 1),N,Mid or Above Grade Level,109
1000042,Gonzalez,Scarlett,11,Falcon Ridge Elementary,2026-04-06,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,12
1000043,Anderson,Jackson,3,Canyon Ridge Elementary,2025-10-09,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,79
1000043,Anderson,Jackson,3,Canyon Ridge Elementary,2026-01-08,Winter (November 16 - March 1),N,Mid or Above Grade Level,112
1000043,Anderson,Jackson,3,Canyon Ridge Elementary,2026-04-27,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,62
1000044,Harris,Ethan,3,South High,2025-11-06,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,106
1000044,Harris,Ethan,3,South High,2025-12-15,Winter (November 16 - March 1),N,Mid or Above Grade Level,136
1000044,Harris,Ethan,3,South High,2026-05-01,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,105
1000045,Lee,James,2,Heritage Middle,2025-09-18,Fall (Beginning of Year - November 15),N,1 Grade Level Below,66
1000045,Lee,James,2,Heritage Middle,2025-12-01,Winter (November 16 - March 1),N,1 Grade Level Below,36
1000045,Lee,James,2,Heritage Middle,2026-03-03,Spring (March 2 - End of Year),N,1 Grade Level Below,24
1000045,Lee,James,2,Heritage Middle,2026-03-26,Spring (March 2 - End of Year),Y,1 Grade Level Below,44
1000046,Wilson,Aiden,11,South High,2025-09-27,Fall (Beginning of Year - November 15),N,Early On Grade Level,144
1000046,Wilson,Aiden,11,South High,2026-01-02,Winter (November 16 - March 1),Y,1 Grade Level Below,132
1000047,Wilson,Noah,10,North High,2025-10-06,Fall (Beginning of Year - November 15),N,1 Grade Level Below,80
1000047,Wilson,Noah,10,North High,2025-12-24,Winter (November 16 - March 1),N,1 Grade Level Below,22
1000047,Wilson,Noah,10,North High,2026-04-13,Spring (March 2 - End of Year),Y,2 Grade Levels Below,79
1000048,Gonzalez,Elijah,8,Mountain View Middle,2026-04-07,Spring (March 2 - End of Year),Y,2 Grade Levels Below,117
1000049,Jones,Mia,5,South High,2025-08-14,Fall (Beginning of Year - November 15),N,Early On Grade Level,0
1000049,Jones,Mia,5,South High,2025-12-16,Winter (November 16 - March 1),N,Early On Grade Level,2
1000049,Jones,Mia,5,South High,2026-04-10,Spring (March 2 - End of Year),Y,Early On Grade Level,135
1000050,Lee,Isabella,7,North High,2025-11-10,Fall (Beginning of Year - November 15),N,1 Grade Level Below,74
1000050,Lee,Isabella,7,North High,2025-11-26,Winter (November 16 - March 1),N,1 Grade Level Below,10
1000050,Lee,Isabella,7,North High,2026-05-19,Spring (March 2 - End of Year),Y,1 Grade Level Below,0
1000051,Martin,Logan,8,Eagle View Elementary,2025-11-07,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,20
1000051,Martin,Logan,8,Eagle View Elementary,2025-12-20,Winter (November 16 - March 1),N,3 or More Grade Levels Below,142
1000051,Martin,Logan,8,Eagle View Elementary,2026-03-24,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,144
1000052,Jackson,Noah,6,Canyon Ridge Elementary,2025-08-27,Fall (Beginning of Year - November 15),N,Early On Grade Level,67
1000052,Jackson,Noah,6,Canyon Ridge Elementary,2025-12-30,Winter (November 16 - March 1),N,Early On Grade Level,85
1000052,Jackson,Noah,6,Canyon Ridge Elementary,2026-04-24,Spring (March 2 - End of Year),Y,Early On Grade Level,60
1000053,Davis,Ella,9,Foothills Elementary,2025-08-16,Fall (Beginning of Year - November 15),N,Early On Grade Level,98
1000053,Davis,Ella,9,Foothills Elementary,2025-12-10,Winter (November 16 - March 1),N,1 Grade Level Below,33
1000053,Davis,Ella,9,Foothills Elementary,2026-03-22,Spring (March 2 - End of Year),Y,Early On Grade Level,112
1000054,Davis,Emma,K,Prairie Ridge Middle,2025-08-22,Fall (Beginning of Year - November 15),N,1 Grade Level Below,0
1000054,Davis,Emma,K,Prairie Ridge Middle,2026-01-22,Winter (November 16 - March 1),Y,1 Grade Level Below,202
1000055,Davis,Amelia,10,Horizon Middle,2025-08-12,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,132
1000055,Davis,Amelia,10,Horizon Middle,2025-12-25,Winter (November 16 - March 1),Y,Mid or Above Grade Level,0
1000056,Davis,Mason,4,North High,2025-10-24,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,147
1000056,Davis,Mason,4,North High,2026-02-25,Winter (November 16 - March 1),N,Mid or Above Grade Level,127
1000056,Davis,Mason,4,North High,2026-03-17,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,185
1000057,Smith,Aiden,7,Central High,2025-09-08,Fall (Beginning of Year - November 15),N,Early On Grade Level,119
1000057,Smith,Aiden,7,Central High,2025-11-25,Winter (November 16 - March 1),N,Early On Grade Level,21
1000057,Smith,Aiden,7,Central High,2026-04-09,Spring (March 2 - End of Year),Y,Early On Grade Level,78
1000058,Perez,Liam,11,Canyon Ridge Elementary,2025-10-11,Fall (Beginning of Year - November 15),N,1 Grade Level Below,291
1000058,Perez,Liam,11,Canyon Ridge Elementary,2026-01-14,Winter (November 16 - March 1),N,2 Grade Levels Below,85
1000058,Perez,Liam,11,Canyon Ridge Elementary,2026-04-28,Spring (March 2 - End of Year),Y,2 Grade Levels Below,123
1000059,Jones,Ethan,7,North High,2025-10-12,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,28
1000059,Jones,Ethan,7,North High,2025-12-15,Winter (November 16 - March 1),N,2 Grade Levels Below,106
1000059,Jones,Ethan,7,North High,2026-04-03,Spring (March 2 - End of Year),Y,2 Grade Levels Below,87
1000060,Lopez,James,7,North High,2025-09-01,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,189
1000060,Lopez,James,7,North High,2025-12-28,Winter (November 16 - March 1),N,2 Grade Levels Below,119
1000060,Lopez,James,7,North High,2026-05-11,Spring (March 2 - End of Year),Y,2 Grade Levels Below,177
1000061,Gonzalez,James,2,Heritage Middle,2025-09-29,Fall (Beginning of Year - November 15),N,1 Grade Level Below,20
1000061,Gonzalez,James,2,Heritage Middle,2026-02-14,Winter (November 16 - March 1),N,1 Grade Level Below,80
1000061,Gonzalez,James,2,Heritage Middle,2026-03-30,Spring (March 2 - End of Year),N,1 Grade Level Below,73
1000061,Gonzalez,James,2,Heritage Middle,2026-05-19,Spring (March 2 - End of Year),Y,1 Grade Level Below,49
1000062,Anderson,Jackson,5,North High,2025-08-12,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,89
1000062,Anderson,Jackson,5,North High,2025-12-09,Winter (November 16 - March 1),N,3 or More Grade Levels Below,233
1000062,Anderson,Jackson,5,North High,2026-03-22,Spring (March 2 - End of Year),N,3 or More Grade Levels Below,99
1000062,Anderson,Jackson,5,North High,2026-05-11,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,136
1000063,Rodriguez,Harper,12,Mountain View Middle,2025-11-12,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,133
1000063,Rodriguez,Harper,12,Mountain View Middle,2025-11-27,Winter (November 16 - March 1),N,3 or More Grade Levels Below,0
1000063,Rodriguez,Harper,12,Mountain View Middle,2026-04-24,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,75
1000064,Johnson,Olivia,3,Eagle View Elementary,2025-08-23,Fall (Beginning of Year - November 15),N,1 Grade Level Below,223
